Currency,Cash (Sell),Cash (Buy),Transfer (Sell),Transfer (Buy),Date,Currency_cleaned
USD$,77.2519,77.0519,77.2019,77.1019,01/01/2020,USD$
EURO€,86.6275,86.0275,86.4575,86.1975,01/01/2020,EURO€
POUND£,101.7175,100.9175,101.4675,101.1675,01/01/2020,POUND£
SWISS₣,78.3750,77.8750,78.2250,78.0250,01/01/2020,SWISS₣
INDIAN Rs.,1.0929,1.0829,1.0899,1.0859,01/01/2020,INDIAN Rs.
PAKISTAN Rs.,0.4856,0.4776,0.4826,0.4806,01/01/2020,PAKISTAN Rs.
IRAN Toman,0.0063,0.0057,0.0062,0.0058,01/01/2020,IRAN Toman
CNY¥,11.3050,10.9050,11.2050,11.0050,01/01/2020,CNY¥
UAE DIRHAM,21.0850,20.9850,21.0650,21.0050,01/01/2020,UAE DIRHAM
SAUDI RIYAL,20.5341,20.4341,20.5141,20.4541,01/01/2020,SAUDI RIYAL
USD$,77.2963,77.0963,77.2463,77.1463,01/02/2020,USD$
EURO€,86.5273,85.9273,86.3573,86.0973,01/02/2020,EURO€
POUND£,101.4150,100.6150,101.1650,100.8650,01/02/2020,POUND£
SWISS₣,78.5000,78.0000,78.3500,78.1500,01/02/2020,SWISS₣
INDIAN Rs.,1.0845,1.0745,1.0815,1.0775,01/02/2020,INDIAN Rs.
PAKISTAN Rs.,0.4871,0.4791,0.4841,0.4821,01/02/2020,PAKISTAN Rs.
IRAN Toman,0.0063,0.0057,0.0062,0.0058,01/02/2020,IRAN Toman
CNY¥,11.4917,11.0917,11.3917,11.1917,01/02/2020,CNY¥
UAE DIRHAM,21.0646,20.9646,21.0446,20.9846,01/02/2020,UAE DIRHAM
SAUDI RIYAL,20.5750,20.4750,20.5550,20.4950,01/02/2020,SAUDI RIYAL
USD$,77.2500,77.0500,77.2000,77.1000,01/04/2020,USD$
EURO€,86.3550,85.7550,86.1850,85.9250,01/04/2020,EURO€
POUND£,100.9364,100.1364,100.6864,100.3864,01/04/2020,POUND£
SWISS₣,78.2727,77.7727,78.1227,77.9227,01/04/2020,SWISS₣
INDIAN Rs.,1.0836,1.0736,1.0806,1.0766,01/04/2020,INDIAN Rs.
PAKISTAN Rs.,0.4857,0.4777,0.4827,0.4807,01/04/2020,PAKISTAN Rs.
IRAN Toman,0.0062,0.0056,0.0061,0.0057,01/04/2020,IRAN Toman
CNY¥,11.4000,11.0000,11.3000,11.1000,01/04/2020,CNY¥
UAE DIRHAM,21.1269,21.0269,21.1069,21.0469,01/04/2020,UAE DIRHAM
SAUDI RIYAL,20.5591,20.4591,20.5391,20.4791,01/04/2020,SAUDI RIYAL
USD$,77.2991,77.0991,77.2491,77.1491,01/05/2020,USD$
EURO€,86.1604,85.5604,85.9904,85.7304,01/05/2020,EURO€
POUND£,100.7229,99.9229,100.4729,100.1729,01/05/2020,POUND£
SWISS₣,78.5518,78.0518,78.4018,78.2018,01/05/2020,SWISS₣
INDIAN Rs.,1.0823,1.0723,1.0793,1.0753,01/05/2020,INDIAN Rs.
PAKISTAN Rs.,0.4811,0.4731,0.4781,0.4761,01/05/2020,PAKISTAN Rs.
IRAN Toman,0.0062,0.0056,0.0061,0.0057,01/05/2020,IRAN Toman
CNY¥,11.3917,10.9917,11.2917,11.0917,01/05/2020,CNY¥
UAE DIRHAM,21.0589,20.9589,21.0389,20.9789,01/05/2020,UAE DIRHAM
SAUDI RIYAL,20.5583,20.4583,20.5383,20.4783,01/05/2020,SAUDI RIYAL
USD$,77.2775,77.0775,77.2275,77.1275,01/06/2020,USD$
EURO€,86.2500,85.6500,86.0800,85.8200,01/06/2020,EURO€
POUND£,100.7000,99.9000,100.4500,100.1500,01/06/2020,POUND£
SWISS₣,78.5938,78.0938,78.4438,78.2438,01/06/2020,SWISS₣
INDIAN Rs.,1.0856,1.0756,1.0826,1.0786,01/06/2020,INDIAN Rs.
PAKISTAN Rs.,0.4818,0.4738,0.4788,0.4768,01/06/2020,PAKISTAN Rs.
IRAN Toman,0.0061,0.0055,0.0060,0.0056,01/06/2020,IRAN Toman
CNY¥,11.3313,10.9313,11.2313,11.0313,01/06/2020,CNY¥
UAE DIRHAM,21.0780,20.9780,21.0580,20.9980,01/06/2020,UAE DIRHAM
SAUDI RIYAL,20.5542,20.4542,20.5342,20.4742,01/06/2020,SAUDI RIYAL
USD$,77.5535,77.3535,77.5035,77.4035,01/07/2020,USD$
EURO€,86.4636,85.8636,86.2936,86.0336,01/07/2020,EURO€
POUND£,101.3542,100.5542,101.1042,100.8042,01/07/2020,POUND£
SWISS₣,78.5636,78.0636,78.4136,78.2136,01/07/2020,SWISS₣
INDIAN Rs.,1.0782,1.0682,1.0752,1.0712,01/07/2020,INDIAN Rs.
PAKISTAN Rs.,0.4855,0.4775,0.4825,0.4805,01/07/2020,PAKISTAN Rs.
